feature,importance
risk_score,0.1347728733950872
risk_score_bucket_Very Poor,0.08172374089341278
credit_history,0.0644834559072925
risk_score_bucket_Good,0.03845578432733764
education_Not Graduate,0.0326239022453297
risk_score_bucket_Poor,0.03107562864189165
age,0.028490554100097487
risk_score_bucket_Fair,0.027616414937913666
income_annual,0.024728972080468693
credit_to_loan_ratio,0.02412206908052825
income_per_dependent,0.023373716479567708
debt_to_income_ratio,0.02331749493050525
loan_amount,0.022178897022895907
total_accounts,0.02186147066411646
monthly_payment,0.02138429215413725
payment_to_income_ratio,0.020767974440691207
property_area_Urban,0.020683345124924184
days_since_reference,0.020390540807876875
loan_to_income_ratio,0.02036813407179628
debt_to_income,0.01967575293330457
delinquencies_2yrs,0.01867153984796012
gender_Male,0.018397565335772127
loan_amount_term,0.017992291457022483
app_dayofweek,0.017698919450298785
open_accounts,0.017662916888546664
marital_status_Married,0.017313984531414778
app_month,0.016561553696496582
dependents,0.015488304405875935
property_area_Semiurban,0.014741519262623563
loan_grade_B,0.01438709331839059
marital_status_Single,0.013500339344835579
app_quarter,0.01296693333653405
loan_grade_C,0.01185534937610929
risk_score_bucket_Very Good,0.010809887306635414
age_group_25-34,0.008215727725568238
age_group_35-44,0.006689970069072327
self_employed_Yes,0.006183763817776122
debt_burden_Low,0.00617843758274234
age_group_45-54,0.005911296425733617
app_weekend,0.005558581992262125
loan_amount_group_Medium,0.00547313575859202
income_group_Low,0.005467269348520295
debt_burden_Very Low,0.005270428059792599
income_group_Very Low,0.004984210595373285
loan_grade_D,0.0044261897946409464
loan_amount_group_Small,0.004141152590377468
debt_burden_Medium,0.003670707390753905
income_group_Medium,0.003207583991691834
loan_grade_E,0.0016423338424580833
loan_amount_group_Very Small,0.0013762495969023671
marital_status_Widowed,0.0008070109431278806
age_group_55-64,0.00035876448095896777
loan_amount_group_Very Large,0.00027993886795743404
age_group_65+,1.4035328006873605e-05
application_date,0.0
app_year,0.0
debt_burden_Very High,0.0
